Epoch,Train_Loss,Val_AUC
1,0.4412,0.6914
2,0.4319,0.7224
3,0.428,0.719
4,0.4248,0.7104
5,0.4214,0.7291
6,0.4184,0.7219
7,0.4145,0.7438
8,0.4102,0.7239
9,0.4055,0.7275
10,0.3987,0.7195
11,0.3895,0.7215
12,0.376,0.7144
